courseno,title_short_en
004714,SEM THEO CON HIST RES
004715,SEMINAR ON HISTORIOGRAPHY
004716,SEM NEW INQ THA HIST
004717,SEM HIST SEA
004718,SPECIAL TOPIC ON LANNA HISTORY
004719,SEM THAI ECON HIST
004720,SEMINAR ON THAI SOCIAL HISTORY
004721,SEM THAI INTEL HIST
004722,SEM HIST EMO FEEL AFF
004723,SEM HIST THA POL ADMIN
004724,SEM HIST GRE MEK SUB-REG
004725,SEM STU HIST NOV
004726,SPECIFIC TOPIC IN HISTORY
004727,HIST SPEC PER OR TOP
004728,READ MATER SEL PER TOP
004729,SPEC TOP IN U.S. HIS
004739,SPEC TOP IN HIS SE. ASIA
004749,SPEC TOP IN HIS S. ASIA
004750,SEM THE&METH MOD HIST RES
004751,READ RESH PRAC IN HIST
004752,HISTORIOGRAPHY
004766,SPEC TOP IN THE HIST
004768,SPEC TOP IN LANNA
004770,SEM NEW EVI IN THAI HIST
004771,ECON HIST OF THAI
004772,HIST OF THAI SOC ORGANI
004773,THAI INTELLECTUAL HIST
004774,HIST THAI INTER RELATIONS
004775,HIST THAI POLITICS & ADM
004776,HIST GRE MEK SUB-REG
004777,STUDY OF HISTORICAL NOVELS
004780,SPECIFIC TOPIC IN HISTORY
004781,COMPARATIVE HISTORY
004789,SELECTED TOPIC IN HISTORY
004795,STUDY OF SOURCE MATER
004799,MASTER'S THESIS
004896,READ MATER SEL PER TOP
004897,DISSERTATION
004898,DISSERTATION
004899,DISSERTATION
005301,BASIC ARCHAEOLOGY
005373,ARCHEO: NGHBR CNTRYS I
005374,ARCHEO: NGHBR CNTRYS II
005473,THAI ARCHAEOLOGY I
005474,THAI ARCHAEOLOGY II
005475,ARCHAEOLOGY OF LAN NA
006103,HOME AND COMMUNITY
006113,BASIC DESIGN
006115,CLOTHING CONSTRUCTION I
006123,CHEM IN HOME ECONOMICS
006126,INTRODUCTION TO FOOD
006133,BASIC DESIGN
006143,NEW ERA COMMUNITY
006203,MARRIAGE AND FAMILY RELATIONS
006206,HOME MANAGEMENT
006212,CLOTHING AND FABRIC PRODUCTS
006213,CLOTHING DSGN & SELECTION
006214,BANANA LEAF ORNAMENTAL
006215,CLOTHING CONSTRUCTION II
006216,HISTORY OF COSTUME
006217,CONTEM TH FRESH FLOR ARR
006218,FLOWER ARRANGEMENT
006219,INTER FLOWER ARRANGEMENT
006223,FOUNDATION OF NUTRITION
006226,FOOD PREPARATION
006228,FOOD CREATIVITY
006230,FLOWER ARRANGEMENT
006241,COMMUNITY WELFARE
006242,COMMUNITY RESOURCES MANAGEMENT
006243,COOP & COM WELFARE
006246,POPULATION DYNAMICS
006253,FOUNDATION OF NUTRITION
006301,QUAL ELDERLY LIFE FAM & COM
006303,CHILD CARE AND GUIDANCE
006305,PERSONAL HYGIENE
006307,HEALTH AND WELL-BEING
006310,DESIGN FOR HOME ECONOMICS
006311,CLOTHING PROD MERCHANDISE
006312,STYLES IN DESIGNING
006313,TEXTILE FABRICS
006315,CLOTHING TODAY'S FAMILY
006316,CLOTHING FOR CHILDREN
006321,MODERN FOOD AND NUTRITION
006323,APPLIED NUTRITION
006324,SNACK
006325,F B PURCHASE & CONTROL
006326,FOOD HYGIENE
006329,CATERING DESIGN
006330,DESIGN FOR HOME ECONOMICS
006331,STYLES IN DESIGNING
006332,DESIGN PRESENTATION
006338,FOOD DESIGN & DECOR
006341,PRINCIPLES OF HUMAN RELATIONS
006342,COMMUNITY STUDIES
006343,COMMUNITY HYGIENE
006344,GROUP FOR COMMU DEVELOP
006345,COM NTR & HEALTH SERV
006346,POP STU & QUAL OF LIFE
006347,INNO THINK PROCESS HOME & COM
006349,COMM PLANS & PROJECT MGMT
006353,APPLIED NUTRITION
006354,THAI RECIPES AND EVALUATION
006355,COM NTR & HEALTH SERV
006403,PROB IN HOM MGT & FAM RES
006404,CHILDREN & FAM CRISES
006412,EVENT ORGAN FOR SPEC OCCA
006413,DECOR FAB & ADV TEXT DSGN
006423,MEAL MANAGEMENT
006424,THAI RECIPES & EVALUATION
006425,EXPERIMENTAL COOKERY
006426,FOOD CONSERV & PRESERV
006427,INSTITUTIONAL FOOD MANAGEMENT
006428,FOOD STYLIST
006429,INNOVATION OF CULINARY ARTS
006432,PLACE DEC FOR SPEC OCCA
006433,EVENT ORGAN FOR SPEC OCCA
006443,LEADER COM ADMIN & DEVELOP
006446,POP ED & FAM PLANNING
006447,COMMUNITY MANAGE INNOVATION
006448,CURR ISSUES:ENVIRON STUDI
006454,THAI RECIPES AND EVALUATION
006455,DIET THERAPY AND DIETETICS
006460,COOPERATIVE EDUCATION
006470,SEM IN HOME & COMMUNITY
006472,PLACE DEC FOR SPEC OCCA
006475,RESEARCH METH IN HOME & COM
006476,INDEPENDENT STUDY
006478,COMMUNITY RESEARCH
006479,HOME AND COMMUNITY INTERNSHIP
008100,INTRODUCTION TO TOURISM
008202,SERVICE QUALITY
008210,THAI SOC & CULTURE GUIDES
008210,THAI SOC & CULTURE GUIDES
008211,GUIDED TOUR OF NORTH THAI
008212,TOUR GUIDE
008213,INTRO TO TOURISM IND
008214,ECOTOURISM
008215,POP-CULTURE TOURISM
008216,CREATIVE TOURISM
008217,INTERPRET TOUR ATTRACT
008218,COMMUNITY-BASED TOUR MGMT
008219,CABIN CREW MANAGEMENT
008220,INTRODUCTION TO HOTEL INDUSTRY
008221,TOURIST ACCOMMODATION
008223,HOTEL ENVI & FACILITY PLAN
008224,HOTEL CLUB & FITNESS MGMT
008225,SERVICE PSYCHOLOGY
008230,RE & THAI LOC WISDOM FOR TOUR
008231,TOURIST AREA DEVELOPMENT
008232,TOUR RESOURCE & THAI HERITAGE
008233,HIST CULT NATURAL TOUR
008234,TOURISM IN ASEAN COMMUNITY
008235,WORLD CIVILIZATION FOR TOURISM
008260,INTRO TO AVIATION IND
008301,LAW & REGL RET TO TOURISM
008302,PASSENGER TRANSPORTATION
008303,LOGISTICS FOR TOURISM INDUSTRY
008304,TOURIST BEHAVIOR
008310,TOUR MANAGEMENT AND TOUR GUIDE
008311,PRINCIPLES OF TOUR GUIDE
008312,TOURISM AND HOTEL MARKETING
008313,SPECIAL INTEREST TOURISM
008314,HR MGMT IN TOUR & HOTEL
008315,CULTURAL TOURISM
008316,TOURISM DEVELOPMENT PLANNING
008317,TOUR MANAGEMENT
008318,MICE BUSINESS
008320,ACCOMMODATION MANAGEMENT
008321,RESTAURANT MANAGEMENT
008322,INTER HOTEL CHAIN MGMT
008323,FRONT OFFICE MANAGEMENT
008324,HOUSEKEEPING MANAGEMENT
008325,FOOD AND BEVERAGE SERVICE
008326,BEVERAGE AND BAR MANAGEMENT
008327,EVENT PLAN & CAT IN HTL IND
008328,INTRODUCTION TO WINE
008331,TOURISM PLAN AND DEVELOP
008351,TOURISM EVENT OPERATIONS
008352,ENGLISH FOR MICE
008354,PERSON DEVELOP & HOS ETIQUETTE
008355,SPA BUS & HOLI HEAL FOR TOUR
008401,PRO ETH & LAW FOR TOUR & HOTEL
008402,INFO TECH FOR TOUR & HOTEL
008409,PRACTICUM
008411,TOURIST BEHAVIOR
008413,TOURISM IMPACT AND MANAGEMENT
008417,AIRLINE RESERVATION SYSTEM
008418,SUS TOUR DEVELOP PLAN
008421,F&B COST CONTROL IN HOTEL
008422,STRA MGMT FOR TOUR & HOTEL IND
008423,CUS EX MGMT IN HOS IND
008424,ENTRE FOR TOUR & HOTEL INDUS
008431,THE IMPACT OF TOURISM
008442,COOPERATIVE EDUCATION
008443,TOURISM AND HOTEL RESEARCH
008449,SEMINAR TOUR & HOTEL
008452,ENGLISH FOR MICE
008455,INNO FOR TOUR & HOTEL
008456,FEST EVENT OPERAT FOR TOUR
008701,TOURISM PLANNING & ADMIN
008702,PSYCHO-SOC DIMEN OF TOUR
008703,SOC CUL ECON ENVI IMPACT
008704,TOURISM MKTING & PROMOTE
008705,FOREIGN LAN FOR TOURISM
008711,TREKKING TOUR MANAGEMENT
008712,ARTS & CULTURE OF LANNA
008713,GEO&HIS ATTRA N THAILAND
008714,RELI BELV & RIT IN LANNA
008721,TOURIST ASSETS
008722,ADVANCE TOUR OPERATION
008723,TOUR GUIDING
008724,TRAVEL AGENCY MANAGEMENT
008731,PHY PLAN & DEV FOR TOUR
008732,SOC CUL & ECON DIMEN DEV
008733,INFO MGT FOR TOURISM
008734,SEMINAR IN TOURISM
008750,TOURISM INDUSTRY OVERVIEW
008751,TOURISM DEVELOPMENT POLICY
008752,TOUR MARKET & TOUR BEHAV
008753,RESEARCH METH IN TOUR INDUS
008754,CULTURAL TOUR AND MGT
008759,SEMINAR IN TOUR IND MGT
008761,CRITICAL ISSUES IN TOURISM
008762,TOUR AND CUL HER MGT
008763,TOUR BUSINESS AND MGT
008764,TOUR DESTINATION MGT
008765,SUSTAIN TOUR AND MGT
008766,TOURISM CRISIS MANAGEMENT
008767,ACCOMODATION INDUSTRY MANAGEMENT
008768,ROOM DIVISION MGT
008769,INTERNATIONAL HOTEL CORP
008770,HOTEL CORP FIN & CONTROL
008771,SPECIAL INTEREST TOURISM
008772,FESTIVALS AND TOURISM
008773,GENDER AND TOURISM
008774,SELECTED TOPICS IN TIM
008789,SELEC TOPIC IN TOUR IND MGT
008791,RES SEMI IN TOUR INDUS MGT
008798,INDEPENDENT STUDY
008799,THESIS
009103,INFO LITERACY & INFO PRESENT
009105,INFORMATION AND SOCIETY
009107,INTRO TO INFO MGMT
009205,LIB AND SOCIETY
009212,INFO & COMM TECH
009213,INFO TECH FOR INFO WORKS
009230,INFO RESOURCES MGMT
009231,KNOWLEDGE ORGANIZATION
009232,CATALOGING PRINTED MATERIALS
009233,CAT ELE & DIGIT RESOURCES
009234,INFO CONTENT ANALYSIS & SYN
009236,WEB TECH FOR INFO
009237,DEVE DIGI MEDIA FOR INFO WORK
009244,SERIALS AND NEWSPAPER
009251,PRINC INFO SERV MGMT
009254,REFERENCE SERVICES
009301,ENGL FOR INFO PROFESSIONALS
009302,DESIGN THINK FOR INFO PROF
009304,ELECTRONIC PUBLISHING
009321,KM IN INFO WORKS
009322,LOCAL INFORMATION MANAGEMENT
009323,WEB MASTER
009325,REC MGMT & INFO GOV
009326,ELEC & DIGIT RESOURCE MGMT
009327,INFO SYSTEM MGMT IN INFO ORGAN
009328,LIBRARY AUTO & DIGI LIBRARY
009331,GAME & GAMIFICATION FOR INFO
009332,CAT AV MATS AND E RESOURCES
009333,CATALOG INFO RESOURCE
009334,DATA ANALYTICS IN DIGI HUMAN
009336,DB SYS DEVELOP FOR INFO WORK
009338,LIB TECH SER
009339,SOFTWARE DEV FOR INFO WORK 1
009341,DEVELOP MULTI & DIGIT IN INFO
009343,DIGIT CON CREAT FOR INFO WORK
009344,ELECT SERIAL RESOURCES MGMT
009345,INFORMATION REPACKAGING
009354,INF SOU AND SER
009355,SERV DESIGN FOR INFO ORG
009356,USER STUDIES
009357,ONLINE SEARCH SERVICES
009358,WEBSITE DESIGN
009359,INFO SERV FOR SPECIAL GROUP
009363,RES METH IN INFO STUDIES
009403,AUDIO VIS MAT IN LIB
009410,PROGRAM FOR INFO WORK I
009411,PROGRAM FOR INFO WORK 2
009412,INTELLEC PROPERTY MGMT
009420,CULTURAL HERITAGE INFORMATION
009420,CULTURAL HERITAGE INFORMATION
009421,WEB MASTER
009422,LIBRARY AUTOMATION SYSTEMS
009423,LIB & INFO CENTER
009424,INFORMATION BUSINESS
009425,MARKETING FOR INFO SERVICES
009426,PRIN OF ADMIN FOR INFO ORG
009427,DIGITAL LIBRARIES
009428,DEVELOP OF INFO SYS
009429,PROJECT MANAGE FOR INFO
009431,INFORMATION RETRIEVAL
009432,ONTO & SEM WEB FOR INFO WORK
009433,BIG DATA & VISUAL
009434,ANALYSIS & DESIGN FOR INFO SYS
009435,INDEX AND ABSTRACT
009436,SOCIAL MEDIA MGMT IN INFO ORG
009437,DESN & MGMT INFO MOBILE
009438,INFO PROFESSIONAL INTERNSHIP
009439,VR & AR FOR INFO WORKS
009440,INFO IN SCIENCE & TECHNOLOGY
009441,INFO IN HUMAN & SOC SCIENCE
009442,"INFO IN SC & TEC, HU & SOC"
009445,ARCHIVES MANAGEMENT
009446,LANNA INFORMATION MANAGEMENT
009462,SELEC TOPICS IN INFO STUDY
009464,RES IN INFO STUDIES
009466,INDEPENDENT STUDY
009469,SEMINAR IN INFORMATION STUDIES
009478,INFO PROFESSIONAL INTERNSHIP
009489,IS IN INFO STUDIES
009499,COOPERATIVE EDUCATION
010100,A SURVEY OF MASS COMM
010104,NEWS REPORTING
010200,PRIN OF PUBLIC RELATIONS
010201,INTRO TO PHOTOGRAPHY
010202,WRITING FOR COMMUNICATION
010273,SPEECH COMMUNICATION
010305,ART FOR COMMUNICATION
010306,COMMUNICATION RESEARCH
010308,PROFESSIONAL INTERNSHIP I
010311,RADIO BROADCASTING STUDIO
010312,RADIO SCRIPT WRITING
010321,TELEVISION STUDIO
010322,TELEVISION SCRIPT WRITING
010331,PHOTOGRAPHIC JOURNALISM
010332,EDITORIAL & FEATURE WRIT
010334,ADVANCED REPORTING
010340,COMPARATIVE PUB RELATIONS
010361,FILM STUDIO
010363,FILM SCRIPT WRITING
010370,PRINCIPLE OF DRAMA ARTS
010375,MUSIC FOR COMMUNICATION
010400,ETHICS & LAWS OF MASS COM
010404,FOREIGN NEWS AND FEATURES
010406,COMMUNICATION THEORY
010407,DEVELOPMENT COMMUNICATION
010408,PROFESS INTERNSHIP II
010409,SEM IN MASS COMM
010417,FUND OF RADIO PRODUCTION
010418,ADVANCED RADIO PRODUCTION
010427,FUNDAMENTALS OF TV PRODUC
010428,ADV TELEVISION PRODUCTION
010436,MAGAZINE EDITING
010437,FUND OF NEWSPAPER PRODUCT
010438,ADV NEWSPAPER PRODUCTION
010440,ADVERTISING
010441,ADVERTISING PHOTOGRAPHY
010442,CREATIVE COPY WRITING
010447,PUB REL MEDIA PRODUCTION
010448,PUB REL PLANNING
010460,FILM MANAGEMENT
010462,CINEMATOGRAPHY
010464,FILM PRODUCTION
010465,ADVANCED FILM PRODUCTION
010472,ED BROADCASTING
011100,MAN AND PHILOSOPHY
011101,MEANING OF LIFE
011103,INTRODUCTION TO PHILOSOPHY
011104,SURVEY ON WESTERN PHILOSOPHY
011105,SURVEY ON EASTERN PHILOSOPHY
011151,REASONING
011152,ETHICS FOR GOOD QUAL OF LIFE
011153,INTRO TO PHILOSOPHY
011154,GREEK PHILOSOPHY
011155,PHILOSOPHY OF HAPPINESS
011156,EASTERN PHILOSOPHY
011157,SOCIAL PHILOSOPHY
011159,"PHIL FOR LIFE, SOC & ENVI"
011168,LOCAL WISDOM
011179,PHILOSOPHY OF HISTORY
011251,LOGIC
011253,METAPHYSICS
011256,THAI WAYS
